edge_id,source_operator,successor_operator,transition_type,context_independent,admission_status,command_safe,fresh_successor_shadow_pass,validation_method
t1_acquire_from_black_table__to__t2_deliver_to_black_table,T1.acquire_from_black_table,T2.deliver_to_black_table,held_blue_block_free_transport,True,flexible_semantic_candidate,True,False,reference_deformation
t1_acquire_from_black_table__to__t3_deliver_to_floor,T1.acquire_from_black_table,T3.deliver_to_floor,held_blue_block_free_transport,True,flexible_verified,True,True,reference_deformation
t1_acquire_from_black_table__to__t4_deliver_to_drawer,T1.acquire_from_black_table,T4.deliver_to_drawer,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t1_acquire_from_black_table__to__t5_deliver_to_black_table,T1.acquire_from_black_table,T5.deliver_to_black_table,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t1_acquire_from_black_table__to__t6_stack_on_support_block,T1.acquire_from_black_table,T6.stack_on_support_block,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t1_acquire_from_black_table__to__t7_deliver_to_black_table,T1.acquire_from_black_table,T7.deliver_to_black_table,held_blue_block_free_transport,True,flexible_verified,True,True,reference_deformation
t1_acquire_from_black_table__to__t8_deliver_unstacked_to_black_table,T1.acquire_from_black_table,T8.deliver_unstacked_to_black_table,held_blue_block_free_transport,False,flexible_verified,True,True,tangent_regularized_deformation
t1_deliver_to_white_container__to__t4_open_drawer,T1.deliver_to_white_container,T4.open_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_deliver_to_white_container__to__t5_open_drawer,T1.deliver_to_white_container,T5.open_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t2_acquire_from_floor,T1.open_white_container,T2.acquire_from_floor,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t3_acquire_from_black_table,T1.open_white_container,T3.acquire_from_black_table,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t4_acquire_from_black_table,T1.open_white_container,T4.acquire_from_black_table,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t4_close_drawer,T1.open_white_container,T4.close_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t4_open_drawer,T1.open_white_container,T4.open_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t5_acquire_from_drawer,T1.open_white_container,T5.acquire_from_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t5_close_drawer,T1.open_white_container,T5.close_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t5_open_drawer,T1.open_white_container,T5.open_drawer,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t6_acquire_moving_block,T1.open_white_container,T6.acquire_moving_block,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t7_acquire_from_drawer_top,T1.open_white_container,T7.acquire_from_drawer_top,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t1_open_white_container__to__t8_acquire_top_block_from_stack,T1.open_white_container,T8.acquire_top_block_from_stack,empty_gripper_free_space_reposition,False,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t1_deliver_to_white_container,T2.acquire_from_floor,T1.deliver_to_white_container,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t3_deliver_to_floor,T2.acquire_from_floor,T3.deliver_to_floor,held_blue_block_free_transport,True,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t4_deliver_to_drawer,T2.acquire_from_floor,T4.deliver_to_drawer,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t5_deliver_to_black_table,T2.acquire_from_floor,T5.deliver_to_black_table,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t6_stack_on_support_block,T2.acquire_from_floor,T6.stack_on_support_block,held_blue_block_free_transport,False,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t7_deliver_to_black_table,T2.acquire_from_floor,T7.deliver_to_black_table,held_blue_block_free_transport,True,flexible_verified,True,True,reference_deformation
t2_acquire_from_floor__to__t8_deliver_unstacked_to_black_table,T2.acquire_from_floor,T8.deliver_unstacked_to_black_table,held_blue_block_free_transport,False,flexible_verified,True,True,tangent_regularized_deformation
