source_operator,successor_operator,result,active_validation_method,handoff_id,source_prefix_mm,bridge_length_mm,successor_suffix_mm,total_length_mm,reason
T1.acquire_from_black_table,T2.deliver_to_black_table,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_f29a43b40830,71.9266151042117,127.8105456788783,126.86983621232827,326.6069969954183,
T1.acquire_from_black_table,T3.deliver_to_floor,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_e8ab811d278f,71.9266151042117,237.05580919576605,183.77577497101527,492.75819927099303,
T1.acquire_from_black_table,T4.deliver_to_drawer,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_d8fb5b969466,71.9266151042117,265.49625621043305,92.07457871567198,429.4974500303167,
T1.acquire_from_black_table,T5.deliver_to_black_table,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_4dc277ce68d4,74.27636768396829,107.8620161287864,37.958975249689786,220.09735906244447,
T1.acquire_from_black_table,T6.stack_on_support_block,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_c2beda295e7e,71.9266151042117,305.3989217791773,145.7649927199181,523.090529603307,
T1.acquire_from_black_table,T7.deliver_to_black_table,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_88ac32a93b5d,71.9266151042117,157.5144048389105,132.06013693813782,361.50115688126004,
T1.acquire_from_black_table,T8.deliver_unstacked_to_black_table,promoted_semantic_local,execution_tail_s4_semantic_local_interior_dynamic_future_join,h_semantic_bb6afa1727f6,81.31684305420795,143.63502164153033,109.1272770956366,334.07914179137487,
T1.deliver_to_white_container,T4.open_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.deliver_to_white_container,T5.open_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T2.acquire_from_floor,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T3.acquire_from_black_table,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T4.acquire_from_black_table,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T4.close_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T4.open_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T5.acquire_from_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T5.close_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T5.open_drawer,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T6.acquire_moving_block,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T7.acquire_from_drawer_top,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T1.open_white_container,T8.acquire_top_block_from_stack,not_applicable_source_contract,reference_deformation,,,,,,source_bridge_mode_is_not_held_object_free_transport
T2.acquire_from_floor,T1.deliver_to_white_container,promoted_semantic_local,execution_tail_s2_semantic_local_interior_dynamic_future_join,h_semantic_740594f58e50,324.63028276111436,262.717954391264,59.447924673287446,646.7961618256659,
T2.acquire_from_floor,T3.deliver_to_floor,preserved_reviewed_semantic_local,execution_tail_s2_semantic_local_interior_dynamic_future_join,h_semantic_daa4a03a384a,,,,818.8438996185341,
